Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
CUST1679,Amit Kumar,FEMALE,,mumbai,2021-06-11,2024-08-12,,3.0,invalid_email,,InDia
CUST1076,Arjun Singh,m,,hyderabad,2020-01-06,2024-02-16,,1.0,test@domain.com,6141085641.0,india
CUST1385,Arjun Singh,FEMALE,33,Delhi,2022-06-11,2023-12-06,13157.5,4.0,user@example.com,8640838285.0,InDia
CUST1286,Simran Kaur,M,30 years,hyderabad,2020-06-10,2023-05-31,5773.74,2.0,user@example.com,8143925121.0,India
CUST1183,Amit Kumar,FEMALE,20,Hyderabad,2022-09-30,2021-11-07,17527.83,2.0,user@example.com,,india
CUST1855,Rohit Mehta,FEMALE,,delhi,2022-06-23,2024-07-07,13458.61,3.0,user@example.com,6362216815.0,India
CUST1898,Vikas Yadav,m,35,Chennai,2024-01-16,2021-10-13,2031.61,4.0,invalid_email,,India
CUST1681,Rahul Sharma,M,30 years,Delhi,2020-04-06,2024-08-13,,4.0,user@example.com,8047460109.0,India
CUST1773,Kavya Nair,m,30 years,mumbai,2021-04-24,2021-01-20,35118.14,2.0,test@domain.com,8588352668.0,InDia
CUST1079,Amit Kumar,MALE,20,Hyderabad,2020-01-02,2021-12-12,,4.0,test@domain.com,6332630385.0,InDia
CUST1817,Simran Kaur,M,,,2022-05-10,2021-01-01,,4.0,test@domain.com,,India
CUST1881,Neha Verma,F,30 years,Kolkata,2021-10-03,2025-02-09,35834.89,1.0,invalid_email,9172944153.0,India
CUST1484,Rahul Sharma,MALE,,Delhi,2021-11-20,2021-04-02,23604.14,,user@example.com,,India
CUST1800,Neha Verma,f,53,Hyderabad,2023-03-04,2024-10-13,27587.85,,test@domain.com,,india
CUST1654,Rahul Sharma,FEMALE,30 years,Kolkata,2022-09-07,2023-01-18,35289.57,2.0,test@domain.com,8598380037.0,India
CUST1138,Priya Singh,FEMALE,27,Delhi,2020-02-26,2021-10-27,40440.26,4.0,test@domain.com,,India
CUST1535,Arjun Singh,M,,hyderabad,2022-08-08,2021-08-04,20746.52,3.0,invalid_email,,InDia
CUST1828,Anjali Gupta,F,30 years,CHENNAI,2023-02-06,2024-02-25,10958.95,,user@example.com,,InDia
CUST1798,Neha Verma,FEMALE,43,mumbai,2020-04-06,2023-09-06,32985.54,5.0,invalid_email,,india
CUST1257,Arjun Singh,f,54,Mumbai,2021-10-16,2021-05-14,,,user@example.com,,India
CUST1693,Anjali Gupta,,30 years,hyderabad,2021-11-19,2021-05-05,18380.72,1.0,user@example.com,8759494262.0,india
CUST1466,Priya Singh,F,27,,2021-09-13,2021-03-07,,4.0,test@domain.com,9399983163.0,India
CUST1359,Rahul Sharma,,,CHENNAI,2023-02-06,2021-02-19,,5.0,invalid_email,,india
CUST1655,Vikas Yadav,M,55,CHENNAI,2024-02-05,2021-09-18,6802.2,1.0,test@domain.com,,india
CUST1550,Kavya Nair,M,30 years,Chennai,2020-04-26,2022-12-31,,,user@example.com,6433227384.0,india
CUST1375,Priya Singh,FEMALE,30,mumbai,2021-04-08,2023-06-28,,2.0,user@example.com,,india
CUST1844,Priya Singh,M,,delhi,2024-01-14,2021-02-06,,5.0,user@example.com,,InDia
CUST1192,Vikas Yadav,FEMALE,30 years,mumbai,2022-10-09,2021-04-20,,4.0,user@example.com,7020631504.0,India
CUST1918,Neha Verma,FEMALE,19,CHENNAI,2020-09-14,2024-09-10,2374.71,3.0,invalid_email,,india
CUST1030,Priya Singh,F,,hyderabad,2022-08-09,2024-02-22,,1.0,test@domain.com,,india
CUST1103,Neha Verma,MALE,,Delhi,2022-02-25,2022-03-01,8077.43,4.0,test@domain.com,,InDia
CUST1860,Arjun Singh,M,30 years,Hyderabad,2023-12-10,2022-08-08,9225.45,1.0,invalid_email,6865744508.0,India
CUST1994,Vikas Yadav,M,,Chennai,2022-10-06,2021-12-11,,,invalid_email,,InDia
CUST1417,Amit Kumar,m,,,2020-07-10,2021-03-07,,,test@domain.com,,India
CUST1790,Rahul Sharma,M,,delhi,2021-03-06,2021-02-27,,2.0,invalid_email,,India
CUST1007,Amit Kumar,m,60,delhi,2021-09-14,2022-08-02,9228.69,2.0,invalid_email,,india
CUST1852,Simran Kaur,f,30,hyderabad,2021-08-23,2023-03-24,23939.52,2.0,test@domain.com,,india
CUST1721,Amit Kumar,MALE,,Delhi,2022-05-24,2021-05-15,12105.85,,test@domain.com,6304481272.0,india
CUST1523,Rahul Sharma,F,30 years,Mumbai,2023-02-12,2023-06-10,41219.9,1.0,user@example.com,9331421845.0,india
CUST1565,Anjali Gupta,M,46,delhi,2020-09-05,2022-10-30,,2.0,test@domain.com,6743687668.0,India
CUST1214,Anjali Gupta,F,30 years,mumbai,2022-04-28,2024-04-02,29569.57,,invalid_email,7271788153.0,india
CUST1445,Simran Kaur,f,26,CHENNAI,2020-06-03,2023-04-24,,2.0,test@domain.com,,india
CUST1225,Priya Singh,,24,Hyderabad,2020-04-13,2024-07-04,20703.4,3.0,user@example.com,6813805595.0,India
CUST1393,Neha Verma,FEMALE,,Chennai,2020-09-15,2022-12-07,,,user@example.com,,India
CUST1399,Amit Kumar,MALE,,,2023-08-17,2021-07-10,,,user@example.com,7984193396.0,InDia
CUST1351,Rahul Sharma,F,30 years,Hyderabad,2021-08-21,2023-05-16,35271.43,4.0,test@domain.com,,India
CUST1362,Rohit Mehta,F,30 years,mumbai,2022-08-13,2023-11-16,,3.0,test@domain.com,,InDia
CUST1737,Rohit Mehta,M,30 years,Kolkata,2023-07-17,2023-11-08,32123.29,5.0,user@example.com,8710948412.0,InDia
